Job Name,Image Count,Cumulative Total
Job_25_filter,1005,1005
Job_24_filter,179,1184
Job_24_ssim,349,1533
job_25_ssim,563,2096
Job_27_filter,374,2470
Job_7,363,2833
Job_11,350,3183
Job_12,458,3641
Job_13,97,3738
Job_14,15,3753
Job_15,32,3785
Job_16,15,3800
Job_17,24,3824
Job_18,14,3838
Job_21,301,4139
Job_22,569,4708
Job_23,264,4972
Job_27,514,5486
Job_28,2089,7575
Job_29,240,7815
Job_30,250,8065
Job_31,250,8315
Job_32,400,8715
Job_37,99,8814
Job_41,280,9094
Job_42,107,9201
Job_48,102,9303
Job_50,49,9352
Job_51,1595,10947
Job_52,25,10972
Job_54,185,11157
Job_55,36,11193
Job_56,69,11262
Job_57,118,11380
Job_59,80,11460
Job_60,1620,13080
Job_61,228,13308
Job_65,147,13455
Job_66,24,13479
Job_67,21,13500
Job_69,42,13542
Job_70,87,13629
Job_72,146,13775
Job_73,88,13863
Job_76,79,13942
Job_87,458,14400
Job_88,142,14542
Job_89,149,14691
Job_95,70,14761
Job_96,90,14851
Job_98,36,14887
Job_104,217,15104
Job_105,192,15296
Job_106,120,15416
Job_108,10,15426
Job_109,132,15558
Job_114,96,15654
Job_115,63,15717
Job_116,59,15776
Job_117,162,15938
Job_118,61,15999
Job_119,57,16056
Job_121,94,16150
Job_123,300,16450
Job_125,96,16546
Job_126,32,16578
Job_128,107,16685
Job_130,111,16796
Job_131,22,16818
Job_142,22,16840
Job_143,27,16867
Job_145,21,16888
Job_146,12,16900
Job_147,22,16922
Job_151,6,16928
Job_155,61,16989
Job_156,56,17045
Job_157,169,17214
Job_158,20,17234
Job_159,17,17251
Job_160,12,17263
