Job Name,Image Count,Annotation Count,Total Image Size (MB),All Image/Annotation Pairs Present,red_flag,red_yellow_flag,blue_flag,green_coast,flagpole,parasol,surf_zone,non_beach_flag,other_beach_flag,surf_kite,wind_sock
Job_7,179,179,156.55,True,179,0,0,0,179,0,0,0,0,0,0
Job_7_Aug,178,178,111.39,True,178,0,0,0,167,0,0,0,0,0,0
Job_7_Aug_ILLUM,178,178,26.84,True,178,0,0,0,167,0,0,0,0,0,0
Job_7_ILLUM,179,179,28.19,True,179,0,0,0,179,0,0,0,0,0,0
Job_11,149,149,64.82,True,0,149,0,0,149,0,0,0,0,0,0
Job_11_Aug,149,149,55.9,True,0,149,0,0,149,0,0,0,0,0,0
Job_12,77,77,39.16,True,0,77,0,0,0,0,0,0,0,0,0
Job_12_Aug,76,76,31.76,True,0,76,0,0,0,0,0,0,0,0,0
Job_13,49,49,16.72,True,49,0,0,0,0,0,0,0,0,0,0
Job_13_Aug,48,48,19.34,True,48,0,0,0,0,0,0,0,0,0,0
Job_14,8,8,2.72,True,8,0,0,0,0,0,0,0,0,0,0
Job_14_Aug,7,7,2.57,True,7,0,0,0,0,0,0,0,0,0,0
Job_15,16,16,5.54,True,16,0,0,0,0,0,0,0,0,0,0
Job_15_Aug,16,16,6.39,True,16,0,0,0,0,0,0,0,0,0,0
Job_16,8,8,2.74,True,8,0,0,0,0,0,0,0,0,0,0
Job_16_Aug,7,7,2.61,True,7,0,0,0,0,0,0,0,0,0,0
Job_17,12,12,3.6,True,0,12,0,0,0,0,0,0,0,0,0
Job_17_Aug,12,12,4.07,True,0,12,0,0,0,0,0,0,0,0,0
Job_18,7,7,2.21,True,0,7,0,0,0,0,0,0,0,0,0
Job_18_Aug,7,7,2.49,True,0,7,0,0,0,0,0,0,0,0,0
Job_21,101,101,92.16,True,101,0,101,0,101,0,0,0,0,0,0
Job_21_Aug,100,100,92.83,True,100,0,100,0,100,0,0,0,0,0,0
Job_22,101,101,87.13,True,101,0,101,0,101,0,0,0,0,0,0
Job_22_Aug,100,100,93.99,True,100,0,100,0,100,0,0,0,0,0,0
Job_23_filter,85,85,73.62,True,85,0,85,0,85,0,0,0,0,0,0
Job_23,74,74,62.74,True,74,0,74,0,74,0,0,0,0,0,0
Job_23_Aug,73,73,66.6,True,73,0,73,0,73,0,0,0,0,0,0
Job_23_filter_Aug,85,85,80.15,True,85,0,85,0,85,0,0,0,0,0,0
Job_24,66,66,57.39,True,66,0,66,0,66,0,0,0,0,0,0
Job_24_filter,89,89,77.42,True,89,0,89,0,89,0,0,0,0,0,0
Job_24_Aug,65,65,60.92,True,65,0,65,0,65,0,0,0,0,0,0
Job_24_filter_Aug,88,88,84.07,True,88,0,88,0,88,0,0,0,0,0,0
Job_25,75,75,67.88,True,75,0,75,0,75,0,0,0,0,0,0
Job_25_Aug,75,75,74.72,True,75,0,75,0,75,0,0,0,0,0,0
Job_27,32,32,34.27,True,32,0,32,0,32,0,0,0,0,0,0
Job_27_Aug,31,31,32.15,True,31,0,31,0,31,0,0,0,0,0,0
Job_28,68,68,53.06,True,68,0,68,0,68,0,0,0,0,0,0
Job_28_Aug,68,68,49.44,True,68,0,68,0,68,0,0,0,0,0,0
Job_29,80,80,70.22,True,80,0,80,0,78,0,0,0,0,0,0
Job_29_Aug,80,80,64.28,True,80,0,80,0,78,0,0,0,0,0,0
Job_30,49,49,46.26,True,0,49,49,0,49,0,0,0,0,0,0
Job_30_Aug,49,49,47.79,True,0,49,49,0,49,0,0,0,0,0,0
Job_31,74,74,58.74,True,0,74,74,0,74,0,0,0,0,0,0
Job_31_Aug,74,74,58.88,True,0,74,74,0,72,0,0,0,0,0,0
Job_32,84,84,80.24,True,0,84,84,0,84,0,0,0,0,0,0
Job_32_Aug,83,83,83.12,True,0,83,83,0,83,0,0,0,0,0,0
Job_36,64,64,68.77,True,0,64,64,0,64,0,0,0,0,0,0
Job_36_Aug,64,64,54.89,True,0,64,64,0,64,0,0,0,0,0,0
Job_37,50,50,47.35,True,0,50,50,0,50,0,0,0,0,0,0
Job_37_Aug,49,49,38.68,True,0,49,49,0,49,0,0,0,0,0,0
Job_37_Aug_ILLUM,49,49,10.71,True,0,49,49,0,49,0,0,0,0,0,0
Job_37_ILLUM,50,50,10.3,True,0,50,50,0,50,0,0,0,0,0,0
Job_41,70,70,44.54,True,0,70,70,0,70,0,0,0,0,0,0
Job_41_Aug,70,70,50.49,True,0,70,70,0,70,0,0,0,0,0,0
Job_42_Aug,53,53,33.83,True,0,53,53,0,53,0,0,0,0,0,0
Job_42,54,54,35.69,True,0,54,54,0,54,0,0,0,0,0,0
Job_43,37,37,34.46,True,0,37,37,0,37,0,0,0,0,0,0
Job_43_Aug,37,37,33.77,True,0,37,37,0,37,0,0,0,0,0,0
Job_48,34,34,29.64,True,34,0,34,0,34,0,0,0,0,0,0
Job_48_Aug,34,34,25.78,True,34,0,34,0,34,0,0,0,0,0,0
Job_50,25,25,22.45,True,25,0,25,0,25,0,0,0,0,0,0
Job_50_Aug,24,24,21.5,True,24,0,24,0,24,0,0,0,0,0,0
Job_51_Aug,178,178,165.82,True,0,0,0,178,178,0,0,0,0,0,0
Job_52_Aug,190,190,186.67,True,0,0,0,190,190,0,0,0,0,0,0
Job_54,42,42,50.79,True,0,42,0,0,0,0,0,0,0,0,0
Job_54_Aug,41,41,21.35,True,0,41,0,0,0,0,0,0,0,0,0
Job_54_Aug_ILLUM,41,41,8.43,True,0,41,0,0,0,0,0,0,0,0,0
Job_54_ILLUM,42,42,16.07,True,0,42,0,0,0,0,0,0,0,0,0
Job_55,18,18,20.55,True,0,18,0,0,0,0,0,0,0,0,0
Job_55_Aug,18,18,10.49,True,0,18,0,0,0,0,0,0,0,0,0
Job_55_Aug_ILLUM,18,18,4.21,True,0,18,0,0,0,0,0,0,0,0,0
Job_55_ILLUM,18,18,6.85,True,0,18,0,0,0,0,0,0,0,0,0
Job_56,35,35,43.97,True,0,35,0,0,35,0,0,0,0,0,0
Job_56_Aug,34,34,27.03,True,0,34,0,0,34,0,0,0,0,0,0
Job_56_Aug_ILLUM,34,34,9.63,True,0,34,0,0,34,0,0,0,0,0,0
Job_56_ILLUM,35,35,13.01,True,0,35,0,0,35,0,0,0,0,0,0
Job_57,59,59,82.91,True,0,59,0,0,0,0,0,0,0,0,0
Job_57_Aug,59,59,45.3,True,0,59,0,0,0,0,0,0,0,0,0
Job_57_Aug_ILLUM,59,59,14.51,True,0,59,0,0,0,0,0,0,0,0,0
Job_57_ILLUM,59,59,24.75,True,0,59,0,0,0,0,0,0,0,0,0
Job_59,40,40,54.04,True,0,40,0,0,0,0,0,0,0,0,0
Job_59_Aug,40,40,29.63,True,0,40,0,0,0,0,0,0,0,0,0
Job_60,54,54,45.16,True,54,0,0,0,54,0,0,0,0,0,0
Job_60_Aug,54,54,37.53,True,54,0,0,0,54,0,0,0,0,0,0
Job_60_Aug_ILLUM,54,54,11.14,True,54,0,0,0,54,0,0,0,0,0,0
Job_60_ILLUM,54,54,12.04,True,54,0,0,0,54,0,0,0,0,0,0
Job_61,76,76,60.58,True,76,0,0,0,0,0,0,0,0,0,0
Job_61_Aug,76,76,49.11,True,76,0,0,0,0,0,0,0,0,0,0
Job_61_Aug_ILLUM,76,76,14.82,True,76,0,0,0,0,0,0,0,0,0,0
Job_61_ILLUM,76,76,15.78,True,76,0,0,0,0,0,0,0,0,0,0
Job_65,147,147,245.07,True,147,0,147,0,294,0,0,0,0,0,0
Job_65_ILLUM,147,147,62.53,True,147,0,147,0,294,0,0,0,0,0,0
Job_66,24,24,38.58,True,24,0,0,0,0,0,0,0,0,0,0
Job_67,21,21,30.05,True,0,0,21,0,0,0,0,0,0,0,0
Job_69,42,42,80.36,True,0,0,42,0,0,0,0,0,0,0,0
Job_70,44,44,58.89,True,0,44,0,0,0,0,0,0,0,0,0
Job_70_Aug,43,43,29.15,True,0,43,0,0,0,0,0,0,0,0,0
Job_71,83,83,121.64,True,0,83,0,0,166,0,83,0,0,0,0
Job_72,73,73,110.29,True,0,146,0,0,133,0,0,0,0,0,0
Job_73,44,44,35.33,True,0,44,44,0,44,0,0,0,0,0,0
Job_73_Aug,44,44,35.83,True,0,44,44,0,44,0,0,0,0,0,0
Job_74,29,29,27.13,True,0,29,29,0,29,0,0,0,0,0,0
Job_74_Aug,29,29,19.97,True,0,29,29,0,29,0,0,0,0,0,0
Job_75,29,29,28.2,True,0,29,29,0,29,0,0,0,0,0,0
Job_75_Aug,29,29,19.99,True,0,29,29,0,29,0,0,0,0,0,0
Job_76,40,40,30.38,True,0,40,40,0,40,0,0,0,0,0,0
Job_76_Aug,39,39,27.7,True,0,39,39,0,39,0,0,0,0,0,0
Job_77,40,40,30.1,True,0,40,40,0,40,0,0,0,0,0,0
Job_77_Aug,40,40,31.98,True,0,40,40,0,40,0,0,0,0,0,0
Job_78,40,40,31.5,True,0,40,40,0,40,0,0,0,0,0,0
Job_78_Aug,40,40,28.92,True,0,40,40,0,40,0,0,0,0,0,0
Job_87,53,53,53.16,True,0,0,53,0,0,0,0,0,0,0,0
Job_87_Aug,52,52,27.75,True,0,0,52,0,0,0,0,0,0,0,0
Job_88,36,36,27.34,True,36,0,36,0,36,0,0,0,0,0,0
Job_88_Aug,35,35,29.78,True,35,0,35,0,35,0,0,0,0,0,0
Job_89,38,38,27.45,True,38,0,38,0,38,0,0,0,0,0,0
Job_89_Aug,37,37,30.89,True,37,0,37,0,37,0,0,0,0,0,0
Job_95,35,35,17.34,True,35,0,35,0,35,0,0,0,0,0,0
Job_95_Aug,35,35,23.08,True,35,0,35,0,35,0,0,0,0,0,0
Job_96,90,90,51.99,True,90,0,0,0,0,0,0,0,0,0,0
Job_98,36,36,28.66,True,36,0,32,0,36,0,0,0,0,0,0
Job_104,108,108,97.32,True,0,0,108,0,0,0,0,0,0,0,0
Job_104_Aug,108,108,54.33,True,0,0,108,0,0,0,0,0,0,0,0
Job_105,41,41,28.66,True,0,0,41,0,82,0,0,0,0,0,0
Job_105_Aug,40,40,23.5,True,0,0,40,0,80,0,0,0,0,0,0
Job_106,30,30,27.91,True,0,0,30,0,30,0,0,0,0,0,0
Job_106_Aug,30,30,18.25,True,0,0,30,0,30,0,0,0,0,0,0
Job_108,5,5,7.08,True,0,0,5,0,5,0,0,0,0,0,0
Job_108_Aug,5,5,2.82,True,0,0,5,0,5,0,0,0,0,0,0
Job_109,27,27,40.67,True,0,0,27,0,27,0,0,0,0,0,0
Job_114,96,96,106.08,True,0,0,96,0,96,0,0,0,0,0,0
Job_114_Aug,96,96,62.56,True,0,0,96,0,96,0,0,0,0,0,0
Job_115,63,63,55.17,True,0,0,63,0,63,0,0,0,0,0,0
Job_115_Aug,63,63,33.25,True,0,0,63,0,63,0,0,0,0,0,0
Job_116,30,30,30.44,True,0,30,30,0,30,0,0,0,0,0,0
Job_116_Aug,29,29,17.52,True,0,29,29,0,29,0,0,0,0,0,0
Job_117,49,49,31.22,True,0,49,49,0,49,0,0,0,0,0,0
Job_117_Aug,49,49,24.32,True,0,49,49,0,49,0,0,0,0,0,0
Job_118,26,26,19.8,True,0,26,26,0,26,0,0,0,0,0,0
Job_118_Aug,26,26,10.84,True,0,26,26,0,26,0,0,0,0,0,0
Job_119,45,45,37.43,True,0,45,45,0,45,0,0,0,0,0,0
Job_119_Aug,44,44,40.28,True,0,44,44,0,44,0,0,0,0,0,0
Job_120,58,58,82.36,True,0,58,58,0,58,0,0,0,0,0,0
Job_121,47,47,53.84,True,0,47,47,0,47,0,0,0,0,0,0
Job_121_Aug,47,47,24.74,True,0,47,47,0,47,0,0,0,0,0,0
Job_123,30,30,54.23,True,0,30,30,0,30,0,0,0,0,0,0
Job_123_Aug,30,30,36.3,True,0,30,30,0,30,0,0,0,0,0,0
Job_125,48,48,50.64,True,0,48,48,0,48,0,0,0,0,0,0
Job_125_Aug,48,48,51.72,True,0,48,48,0,48,0,0,0,0,0,0
Job_126,16,16,18.28,True,0,16,16,0,16,0,0,0,0,0,0
Job_126_Aug,16,16,8.57,True,0,16,16,0,16,0,0,0,0,0,0
Job_128,54,54,37.79,True,0,54,54,0,54,0,0,0,0,0,0
Job_130,28,28,23.43,True,0,28,28,0,28,0,0,0,0,0,0
Job_130_Aug,28,28,20.36,True,0,28,28,0,28,0,0,0,0,0,0
Job_131,22,22,17.62,True,0,22,22,0,44,0,0,0,0,0,0
Job_142,22,22,8.29,True,0,22,22,0,0,0,0,0,0,0,0
Job_143,14,14,20.72,True,0,14,14,0,14,0,0,0,0,0,0
Job_143_Aug,13,13,13.85,True,0,13,13,0,13,0,0,0,0,0,0
Job_145,11,11,27.66,True,0,6,11,0,11,0,0,0,0,0,0
Job_145_Aug,31,31,72.34,True,2,19,31,0,31,0,0,0,0,0,0
Job_146,12,12,26.11,True,12,0,11,0,10,0,0,0,0,0,0
Job_147,22,22,18.98,True,0,22,22,0,5,0,0,0,0,0,0
Job_151,6,6,2.48,True,0,3,0,0,3,0,0,0,0,0,0
Job_155,61,61,84.58,True,62,0,0,0,50,16,0,0,3,0,0
Job_156,56,56,80.46,True,0,1,52,2,54,0,0,1,4,0,1
Job_157,169,169,282.75,True,1,206,5,0,64,2,6,1,0,0,0
Job_158,20,20,24.99,True,0,0,0,0,27,0,4,0,25,0,1
Job_159,17,17,37.27,True,0,0,0,0,2,15,0,3,0,3,1
Job_160,12,12,19.57,True,12,0,12,0,12,0,0,0,0,0,0
TOTAL,9117,9117,7391.11 MB (7.22 GB),,3795,4076,5541,370,7666,33,93,5,32,3,3
